"policy","mean","median","p10","p90"
"meta_d50_b20_h05",7487.54,7487,7445.9,7527
"meta_d20_b20_h05",7490.19,7490,7446.9,7531.1
"meta_d20_b10_h10",7496.902,7498,7456,7537
"meta_d20_b10_h05",7501.824,7502,7461,7542
"meta_d30_b10_h05",7501.89625,7502,7461,7542.1
"meta_d20_b10_h02",7503.87666666667,7502.5,7467.9,7546
"meta_d25_b10_h05",7505.93,7506.5,7462,7547.1
"meta_d20_b05_h05",7548.362,7549,7510,7586
"meta_d15_b05_h05",7549.297,7548,7510.9,7589
"meta_d10_b05_h10",7560.788,7562,7522.9,7597
"meta_d10_b05_h05",7560.9,7561,7523,7598
"meta_d05_b05_h05",7571.75888888889,7571,7536.9,7609.1
"meta_d10_b02_h05",7584.739,7585.5,7546,7622
"meta_d05_b02_h05",7591.295,7593,7553,7630
"two_plus_bn",7633.38,7632,7591.9,7673
"hybrid_lye_dual",7671.269,7669,7626,7720
"two_plus_lye_bot",7673.682,7673,7626,7723
"multi_resin",7677.806,7677,7620,7739.1
"mal_or_alllye",7738.357,7738,7672,7803.1
"mal_or_multi",7741.474,7740,7678,7808
"all_lye_bot",7789.349,7788,7750.9,7826
"two_dual_bot",7805.682,7806,7766,7845
"has_mal",7828.025,7827,7777,7883
"mal_and_multi",7883.89,7884,7840,7926
"bottleneck_only",7899.426,7900,7861,7937
"all_lye",8112.26,8111,8049,8176.1
"two_plus_lye",8199.237,8200,8104.9,8292
"any_lye_bot",8347.056,8345,8263.9,8434
"skip_no_lye",8352.079,8352,8269.9,8438
"deficit_only",8382.441,8381,8316.9,8445
"no_single",8417.124,8415.5,8349.9,8485
"lye_or_mal",8540.937,8543.5,8429,8648
"skip_mmm",8635.205,8635,8546,8722
"skip_all_single",8662.716,8662,8564,8761
"lye_ahead",8767.227,8772.5,8688.9,8842.1
"greedy",8813.319,8811,8712,8919.3
