"hand","n_decisions","pct_1","pct_2","pct_all3"
"2/2/2",17069,0,0,100
"2/2/1",16823,53.5,46.5,0
"2/1/2",16731,0,0,100
"1/2/2",16710,0,0,100
"1/2/1",9664,99.9,0.1,0
"2/1/1",9596,52.6,47.4,0
"1/1/2",9561,0,0,100
"3/1/2",7360,0,0,100
"3/2/1",7355,51.9,0.1,48
"1/2/3",7344,0,0,100
"1/3/2",7258,0,0,100
"2/1/3",7201,0,0,100
"2/3/1",7175,52.8,47.1,0.1
"3/1/1",6923,51.8,0,48.2
"1/3/1",6920,99.9,0,0.1
"1/1/3",6722,0,0,100
"2/3/2",4213,0,0,100
"3/2/2",4206,0,0,100
"2/2/3",4141,0,0,100
"2/2/0",3833,54.2,45.8,0
"0/2/2",3761,0,0,100
"2/0/2",3689,0,0,100
"0/2/3",3152,0,0,100
"3/0/2",3120,0,0,100
"0/3/2",3115,0,0,100
"2/0/3",3085,0,0,100
"2/3/0",3084,53.2,46.7,0.1
"3/2/0",3071,51.3,0,48.7
"1/1/1",2382,100,0,0
"1/0/3",2008,0,0,100
"3/0/1",1990,52.9,0,47.1
"0/3/1",1988,99.8,0,0.2
"0/1/3",1980,0,0,100
"1/3/0",1918,99.9,0,0.1
"1/3/3",1907,0,0,100
"3/1/0",1897,52,0,48
"3/3/1",1873,55.6,0,44.4
"3/1/3",1790,0,0,100
"0/3/3",1681,0,0,100
"3/3/0",1627,53.5,0,46.5
"3/0/3",1576,0,0,100
"1/2/0",1233,99.9,0.1,0
"0/2/1",1208,99.9,0.1,0
"2/0/1",1204,53.2,46.8,0
"0/1/2",1197,0,0,100
"1/0/2",1194,0,0,100
"2/1/0",1191,53.4,46.6,0
"2/3/3",704,0,0,100
"3/3/2",671,0,0,100
"3/2/3",662,0,0,100
"3/0/0",433,49.2,0,50.8
"0/3/0",417,100,0,0
"0/0/3",359,0,0,100
"3/3/3",89,0,0,100
