"hand","n_decisions","pct_1","pct_2","pct_all3"
"2/2/2",26474,0.1,35.7,64.2
"2/2/1",26116,66.6,28.5,4.9
"1/2/2",25981,48,46.9,5.1
"2/1/2",25944,27.3,47,25.8
"1/2/1",14946,65.8,34,0.2
"1/1/2",14852,48.4,51.1,0.5
"2/1/1",14848,68,31.5,0.5
"3/1/2",11417,30.7,62.3,7
"3/2/1",11336,77.2,20,2.7
"1/2/3",11335,58.4,19.6,22
"1/3/2",11209,49.8,47.1,3
"2/3/1",11127,68.1,29,2.9
"2/1/3",11069,30.1,43.4,26.6
"1/3/1",10812,69.9,30,0.1
"3/1/1",10655,80.8,19,0.2
"1/1/3",10613,62.5,18.8,18.7
"2/3/2",6568,0.1,47.1,52.8
"3/2/2",6510,0.1,65.7,34.2
"2/2/3",6390,0,47.6,52.4
"0/2/2",5957,80.6,18.7,0.7
"2/2/0",5897,98.6,0.8,0.6
"2/0/2",5814,49.6,23.8,26.5
"0/2/3",4936,77.7,3.2,19.1
"3/0/2",4838,47.8,47.7,4.5
"3/2/0",4826,96.1,3.7,0.2
"2/3/0",4809,97,2.9,0.1
"0/3/2",4787,78.2,21.7,0.1
"2/0/3",4782,47.5,27.5,25
"1/1/1",3716,74.1,25.9,0
"0/3/1",3100,99.5,0.5,0
"1/0/3",3062,77.5,2.6,19.9
"3/0/1",3044,97.1,2.9,0.1
"0/1/3",3024,79.3,0.4,20.3
"1/3/0",3011,99.6,0.4,0
"3/1/0",2973,99.6,0.4,0
"1/3/3",2923,67,11,22
"3/3/1",2861,85.5,10.9,3.6
"3/1/3",2844,38.9,10,51.1
"0/3/3",2617,77.7,3.1,19.2
"3/3/0",2514,97.7,1.6,0.7
"3/0/3",2510,49.3,2.2,48.5
"1/2/0",1912,95.8,4.2,0
"2/1/0",1875,95.8,4.2,0.1
"0/2/1",1857,96.7,3.3,0
"2/0/1",1849,80.7,18.8,0.5
"1/0/2",1848,60.8,38.6,0.6
"0/1/2",1846,75.9,24,0.1
"2/3/3",1101,0.1,58.2,41.7
"3/3/2",1067,0.2,77.7,22.1
"3/2/3",1054,0,33.2,66.8
"3/0/0",647,99.8,0.2,0
"0/3/0",628,100,0,0
"0/0/3",575,80,0.3,19.7
"3/3/3",126,0,0,100
